`,DistName,StateName,mean_RICEAREA_1000Ha_,mean_WHEATAREA_1000Ha_,mean_KHARIFSORGHUMAREA_1000Ha_,mean_RABISORGHUMAREA_1000Ha_,mean_SORGHUMAREA_1000Ha_,mean_PEARLMILLETAREA_1000Ha_,mean_MAIZEAREA_1000Ha_,mean_FINGERMILLETAREA_1000Ha_,mean_BARLEYAREA_1000Ha_,mean_CHICKPEAAREA_1000Ha_,mean_PIGEONPEAAREA_1000Ha_,mean_MINORPULSESAREA_1000Ha_,mean_GROUNDNUTAREA_1000Ha_,mean_SESAMUMAREA_1000Ha_,mean_RAPESEEDANDMUSTARDAREA_1000Ha_,mean_SAFFLOWERAREA_1000Ha_,mean_CASTORAREA_1000Ha_,mean_LINSEEDAREA_1000Ha_,mean_SUNFLOWERAREA_1000Ha_,mean_SOYABEANAREA_1000Ha_,mean_OILSEEDSAREA_1000Ha_,mean_SUGARCANEAREA_1000Ha_,mean_COTTONAREA_1000Ha_,mean_FRUITSAREA_1000Ha_,mean_VEGETABLESAREA_1000Ha_,mean_FRUITSANDVEGETABLESAREA_1000Ha_,mean_POTATOESAREA_1000Ha_,mean_ONIONAREA_1000Ha_,mean_FODDERAREA_1000Ha_,lat,lng
1,Durg,Chhattisgarh,728.464,39.421,0.3045,0.062,0.387,0.05475,4.09425,0.257,0.06,133.74725,19.27875,205.727,0.9235,4.38575,2.99925,0.28625,0.04375,58.38575,0.342,33.02725,97.34825,3.094,0.042,3.238,18.3515,21.5925,0.19775,0.4895,0.2425,21.1983,81.4008
2,Bastar,Chhattisgarh,597.44375,2.00275,5.076,0.56675,5.935,0,30.8015,6.7225,0.005,1.82025,2.47925,52.604,0.04625,2.73775,10.8965,0.00175,0.0085,3.19075,0.03625,0.143,31.0645,0.51675,0.01075,2.15825,8.09875,10.25475,0.1685,0.22775,0.022,19.1191,81.8292
3,Raipur,Chhattisgarh,891.452,14.211,0.3995,0,0.40525,0.00225,2.50075,0.931,0.0025,17.2515,3.581,156.48425,7.296,5.27775,2.451,0.22625,0.0115,20.201,0.3485,0.63425,36.03,0.281,0.005,2.28875,12.194,14.4815,0.33625,0.626,0.10975,21.2381,81.6337
4,Bilaspur,Chhattisgarh,699.816,18.5165,1.06675,0.00575,1.16175,0.009,10.70725,0,0.3075,41.615,7.07025,133.3275,4.039,3.92775,5.683,0.2315,0.166,17.32,0.1515,5.22,36.16675,1.5725,0,2.8215,13.05525,15.876,0.78575,0.60375,0.0205,22.1638,82.1366
5,Raigarh,Chhattisgarh,412.5115,3.2645,0.20175,0.0005,0.2135,0.03875,7.85625,0.76725,0.04,3.206,4.27675,59.267,11.6195,3.02925,6.23675,0.0135,0.00825,1.2305,1.0315,0.0415,43.09025,0.64925,0.1125,1.3905,9.12125,10.5115,1.87975,0.698,0.0225,22.2362,83.3530
6,Surguja,Chhattisgarh,358.37875,20.17175,2.868,0.06775,3.0845,0.00125,45.205,0.845,5.35075,5.02075,13.2675,48.8565,6.41975,6.706,24.577,0.00025,0,8.6855,0.0205,0.08325,69.0415,1.422,0.0677499999999999,0.92725,11.1085,12.036,5.1485,1.03,0.003,22.9469,83.1657
7,Jabalpur,Madhya Pradesh,151.625,168.62575,9.53925,0.005,9.54425,0.054,8.785,0.04525,0.499,83.295,12.0185,84.88225,0.06425,5.45075,5.555,0.1055,0,9.14375,0.42475,13.7405,37.611,0.465,0,3.75175,10.794,14.5455,1.14575,0.62075,0.779,23.1702,79.9325
8,Balaghat,Madhya Pradesh,240.207,20.21175,0.476,0.002,0.47825,0.0005,4.911,0.47475,0.06,10.29275,3.51025,26.74225,0.16775,1.117,4.6075,0.12825,0.0815,21.95725,0.0215,0.18825,25.98975,1.309,0,0.25475,2.68575,2.94,0.33625,0.2265,0.09975,21.8612,80.3237
9,Chhindwara,Madhya Pradesh,23.34425,94.7065,58.2475,0.05775,58.3055,0.1775,73.4555,0.21525,0,34.6145,27.04975,36.571,24.2385,2.145,0.484,0.0485,0.0185,1.2675,0.33025,95.1705,141.164,5.53325,19.88625,6.55275,10.79,17.34275,2.78075,0.932,0.43725,22.2072,78.7988
10,Narsinghpur,Madhya Pradesh,15.2715,61.22125,8.542,0.001,8.543,0.19675,0.98275,0.02,0,116.62125,25.22375,55.867,0.08325,4.70825,0.2755,0,0,0.4715,0.24275,62.25975,64.18,13.3725,0,0.11575,3.2305,3.34675,0.51025,0.58525,2.37675,22.9346,79.0868
